SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Grace Darling,,,Schooner,,,1/5/1856,1856,1,5,"Long Branch, NJ",,,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,5,,0,,,,,,N,,
Grand Turk,,,Schooner,,,2/28/1853,1853,2,28,"Monmouth Beach, NJ",,,Stranded,,,,,,,,,"New Orleans, LA","New York, NY",,,,3,,,,,Y,N,Broke up,
Grapeshot,,,Schooner,,,12/1/1869,1869,12,1,Sandy Hook,,,Stranded,,,,,,,,,"Baltimore, MD","New York, NY",Wordwell,,,,,,Corn,,Y,N,Total loss,
Great Isaac,,U S War Shipping Admin,Tug,1944,"East Boston, MA",4/16/47,1947,4,16,Barnegat Light S 8 mi,39-31-30 N,73-56-36 W,Collision,Steel,US,185.5,37.6,17.8,1117,251,"Boston, MA","Norfolk, VA","New York, NY",Ernest McCreary,27,,0,,,"Towing Liberty ship ""Thomas M Cooley""",USCG Mohawk,Y,Y,#245575; Total loss,
Greenmay,,,Schooner,,,3/1855,1855,3,,Barnegat,,,Stranded,,,,,,,,,"Norfolk, VA","New York, NY",,,,,,,,,,N,,
GulfTrade (1942),,Gulf Oil Corp,Tanker,1920,"Chester, PA",3/10/43,1943,3,10,Barnegat Inlet SE 3.5 mi,39-43-54 N (B) 39-50-36 N (S),74-01-12 W (B) 73-49-30 W (S),War loss,Steel,US,429.3,59.2,31.4,6676,4223,"Philadelphia, PA","Port Arthur, TX","New York, NY",Torger Olsen,35,,19,,,"12,000 tons of bunker C fuel oil",,Y,Y,#219453; 16 survivors,USCG Casualty report in file
Gypsum King,,,Tug,1906,"Port Richmond, NY",2/23/08,1908,2,23,Little Beach LBI SE 3.5 mi,,,Stranded,,US,151.9,29.6,18.2,581,331,"New York, NY","Norfolk, VA","New York, NY",,29,,0,220000,12000,Coal,Little Beach & Little Egg,N,N,#203583; Refloated; Towing JB King #19 & #20,
H D Havens,,,Schooner,,,3/29/1877,1877,3,29,Barnegat,,,Collision,,,,,,,,,"Baltimore, MD","New York, NY",Pearce,,,,,,,,N,N,Damaged,
H W Godfrey,,,Schooner,1859,"Tuckahoe, NJ",10/7/1890,1890,10,7,Hereford Inlet South bar,,,Stranded,Wood,US,109,28.4,8.2,199.55,189.58,"New York, NY","James River, VA","New York, NY",Sharp,6,,0,4000,1000,Wood,,Y,N,#11385; Total loss,
H W Race,,,Schooner,,,12/10/1878,1878,12,10,Atlantic City,,,Stranded,,US,,,,80,,,"Hampton Roads, VA","New York, NY",,,,1,,,Oysters,,N,N,Partial Loss,
Hanna,,F Breda & Co,Ship,1872,"Shelbourne, NS",2/18/1879,1879,2,18,Long Branch N 1 mi,,,Stranded,,Norway,182.3,35.1,21.3,996,,"Christiana, Norway","London, England","New York, NY",H Lutken,17,0,0,39000,,,Monmouth Beach #4,N,N,Refloated; Towed to NY,
Hannah (1864),,,Brig,,,3/30/1864,1864,3,30,Barnegat Light S 2 mi,,,Stranded,Wood,,,,,,,,"Nassau, Bahamas","New York, NY",Grant,11,,0,,,Circus Equipment Horses,,Y,Y,Total loss; Spaulding & Rogers Circus Co,
Hannah Spaulding,,,Brig,,,3/28/1864,1864,3,28,Long Beach Island,,,Stranded,,,,,,,,,"São Luís, Brazil","New York, NY",,,,,,,,,,N,,
Hansa,,,Bark,,,12/3/1853,1853,12,3,Squan Beach,,,Stranded,,Germany,,,,,,"Bremen, Germany","Glasgow, Scotland","New York, NY",Brinkmann,,223,25,,,250 tons pig iron,,N,N,Refloated 12/12/1853,
Harlequin,,,Sloop,,,4/3/1772,1772,4,3,Sandy Hook Point,,,Stranded,,,,,,,,,"Jamaica, WI","New York, NY",Bryson,,0,0,,,,,Y,N,"#1531; Crew & some cargo saved, Ship lost",
Harriet Elizabeth,,,Schooner,,,1/7/1847,1847,1,7,Absecon bar,,,Stranded,,,,,,,,,"Alexandria, VA","New York, NY",,,,,,,,,Y,N,Total loss,
Harry C Shepard (1884),,,Schooner,1870,"Mays Landing, NJ",5/2/1884,1884,5,2,Sandy Hook,,,Collision,,,110,29,8,213.13,,"Somers Point, NJ","Port of Yorktown, Virginia","New York, NY",,,,,,,Pine wood,,N,N,#95055 Damaged,
Harry Prescott,,,Schooner,1882,"Bath, ME",12/27/02,1902,12,27,Little Beach LSS SE 2.5 mi,,,Stranded,,US,140,34,11.6,433,411,"New Haven, CT","Brunswick, GA","New York, NY",Corey,7,,0,8000,6000,Lumber,Little Beach,N,N,#95715 Refloated; $5000 damage,
Hattie J,,,Schooner,1864,"Great Egg Harbor, NJ",9/24/1881,1881,9,24,Great Egg Harbor Inlet North side,,,Stranded,,,,,,30,28.53,"Somers Point, NJ","Somers Point, NJ","New York, NY",Campbell,3,,0,800,100,Wood,,N,N,#11262 Refloated,
Hattie M Howes,,,Schooner,1869,"Providence, RI",9/28/1880,1880,9,28,Sandy Hook,,,Collision,,,113,29.1,8.5,197,,"Providence, RI","New Orleans, LA","New York, NY",,,,,,,,,N,N,#11959 Towed to NY; Partial loss,
Havel,,,Steamer,1890,"Stettin, Germany",3/7/1895,1895,3,7,Sandy Hook NE 2.5 mi,,,Stranded,Steel,Germany,463,51.9,34.2,6963,3639,"Bremen, Germany","Bremen, Germany","New York, NY",Gungst,,680,0,1300000,500000,Passengers & cargo,Sandy Hook Sta,N,N,Refloated,
Helen A Locke,,J Mays et al,Schooner,1870,"East Boston, MA",12/27/1874,1874,12,27,Little Egg Harbor shoal,,,Stranded,,,95,23.6,9,94,,"Boston, MA","Ponce, Puerto Rico","New York, NY",J Grey,6,,0,10000,3000,Oranges,Little Egg # 23,Y,N,#95088; Total loss,
Henrietta (1873),,,Schooner,,,2/21/1873,1873,2,21,"Long Branch, NJ",,,Stranded,,,,,,,,"East Rockaway, NY","Port of Yorktown, Virginia","New York, NY",W H Rider,5,,0,4000,700,Oysters,Monmouth Beach #4,Y,N,Refloated,
Henry Clay (1846),,,Swallowtail Packet,1845,"New York, NY",03/1846,1846,3,,Squan Beach,,,Stranded,,,181.8,38,29.8,1207,,,"Liverpool, England","New York, NY",Nye,,300,6,,,,,N,N,Refloated; returned to service,
Henry D Brewster,,Smith & Brewster,Schooner,1874,"Bay Shore, NY",1/8/1886,1886,1,8,Monmouth Beach LSS S 2 mi,,,Stranded,,,71,20,5.3,42,,"Patchogue, NY","Port of Yorktown, Virginia","New York, NY",Hendrikson,5,,0,4000,1000,Oysters,Monmouth Beach,Y,N,#95294; Total loss,
Henry Finch,,,Schooner,1854,"Poughkeepsie, NY",11/28/1897,1897,11,28,Harvey Cedars LSS NNE 1 mi,39-42-2 N,74-07-8 W,Stranded,Wood,US,111.6,30.6,9.6,208.52,198.1,"New York, NY","Port of Yorktown, Virginia","New York, NY",Henry Soper,7,,0,,,Wood (pine),Harvey Cedars,,N,#11373; See other Henry Finch,
Henry Poole,,,Brig,,,11/11/1853,1853,11,11,Absecon,,,Stranded,,England,,,,,,,"Glasgow, Scotland","New York, NY",,,,,,,,,,N,,
Henry R Tilton,,Samuel E Birdsall,Schooner,1874,"Wilmington, DE",6/16/1886,1886,6,16,Highlands,,,Collision,,,152,35,16,492.48,468,,"Baltimore, MD","New York, NY",,,,,,,,,,N,#95344,
Hiram Abriff,,C A Lennox,Bark,1864,"Wiscasset, ME",4/7/1868,1868,4,7,"Long Branch, NJ",,,Stranded,,,112,27.6,15.7,327,,"Wiscasset, ME","Barbados, Caribbean","New York, NY",G Tibbetts,10,,0,,10000,Sugar & molasses,,N,N,Refloated; Towed to New York,See scrapbooks 38 - 43 - Purple Misc
Homeward Bound,,J C Gibman,Bark,1864,"Bucksport, ME",3/21/1879,1879,3,21,Wreck Pond LSS N 1 mi,,,Stranded,,,132,30,18.5,561,,"Searsport, ME","Amsterdam, Neth","New York, NY",Merriman,12,,0,7000,0,None,Wreck Pond #8,Y,N,#95368; Total loss,
Hornsee,,Funch Edge & Co,Steamer,1905,"Rostock, Germany",5/23/08,1908,5,23,Egg Harbor S 4 mi,,,Stranded,Steel,Germany,291.1,44,16.6,1186,1196,"Lubeck, Germany","Havana, Cuba","New York, NY",,25,,0,600000,150000,Sugar,Little Beach LSS,N,N,Refloated,See scrapbooks 38 - 43 - Purple Misc
Howard (1880),,H L Lamson,,1857,,4/29/1880,1880,4,29,Little Egg Harbor,,,Stranded,Wood,US,,,,20.84,,"Tuckerton, NJ","Tuckerton, NJ","New York, NY",Lewis L Lamson,1,0,0,800,240,Hay,,Y,N,#11015; Total loss,
Howard Williams (1885),,,Schooner,1872,"Wilmington, DE",2/4/1885,1885,2,4,Barnegat Light E 12 mi,,,Collision,Wood,US,135.8,33.1,11.4,362.19,344.08,"Perth Amboy, NJ","Baltimore, MD","New York, NY",Pierce,,,,,,,,N,N,#95184; Partial loss; Repaired,
Howard Williams (1891),,,Schooner,1872,"Wilmington, DE",1/30/1891,1891,1,30,Absecon,,,Collision,Wood,US,135.8,33.1,11.4,362.19,344.08,"Perth amboy, NJ","Baltimore, MD","New York, NY",,,,,,,,,Y,N,#95184; Total loss,
Humboldt,Humbolt,,Brig,,,2/16/1855,1855,2,16,Squan Beach S 5 mi,,,Stranded,,,,,,,,"Boston, MA","Port-au-Prince, Haiti","New York, NY",,,,,,,Logwood,,,N,,
Hunter (1864),,,Brig,,,3/24/1864,1864,3,24,Great Swamp S 2 mi,,,Stranded,,England,,,,,,,"Sagua La Grande, Cuba","New York, NY",,,,0,,,Sugar & Moasses,,Y,N,Total loss; Near Ship Bottom,
Huron (1866),,A Kaye,Brig,1863,"St John, NB",12/19/1866,1866,12,19,Great Egg Harbor S 2 mi,39-16-00 N,74-35-12 W,Stranded,,England,116,28.6,12.8,370,,"St John, NB, Canada ","Cardenas, Mexico","New York, NY",Rayt,,,,,,Sugar,,,N,,
Huron (1951),,Southern Transportation Co,Barge,1918,"Norfolk, VA",10/10/51,1951,10,10,NJ coast E 25 mi,,,Mechanical damage,Wood,US,214,32,14.3,914,888,"Philadelphia, PA","Baltimore, MD","New York, NY",,,,,,,Railroad ties,,Y,N,#167401; Sank,
Iberia (1888),,"Marsville, France Merchants",Freighter,,,11/10/1888,1888,11,10,"Long Beach, LI, NY E 4 mi",,,Collision,,,300,,,943,,,"Bussorah, Persian Gulf","New York, NY",Sagols,30,,,,,"Coffee, dates, hides, wool",,,Y,,
Imperatrice Elisabetta,Imperatrice Elizabetta,,Bark,,,4/5/1866,1866,4,5,Long Beach Island,39-36-00 N,74-12-06 W,Stranded,Wood,Austria,,,,,,,"Trieste, Austria","New York, NY",,12,,,,,Fruit & Prunes,,Y,N,Islanders ate the prunes,
Independence (1851),,,Sailing ship,,,12/23/1851,1851,12,23,Squan Beach,,,Stranded,Wood,England,,,,,,,"Belfast, England","New York, NY",Martin,,150,0,,,,,N,N,Refloated,
Industry (1773),,,Schooner,,,6/19/1773,1773,6,19,Egg Harbor Inlet,,,Stranded,Wood,US,25,,,,,North Carolina,"Port of Wilmington, North Carolina","New York, NY",James Grant,2,,1,,,"Furs, cloths, etc",,N,N,Refloated,
Irrawaddy,,,Steamer,1873,"Dumbarton, England",11/9/1895,1895,11,9,Deal LSS S .75 mi,,,Stranded,Steel,England,350.8,36.3,27.1,2622,2480,"Glasgow, Scotland","Trinidad, BWI","New York, NY",Beyer,50,14,0,175000,125000,"Asphalt, cocoa, sugar",Deal,N,Y,Refloated,
Isaac L Clark,Rober Moore,Dare B Mulford,Schooner,1874,"Bridgeton, NJ",12/17/1882,1882,12,17,Sandy Hook Point,,,Stranded,,,120.8,32,8.2,318,,"Camden, NJ","Georgetown, DC","New York, NY",E A Cranmer,7,,0,15000,3000,507 tons coal,Sandy Hook,N,N,"#100109; Renamed ""Rober Moore""",
Isaac Webb,,C H Marshall,Packet,1850,"New York, NY",11/19/1868,1868,11,19,Sandy Hook Light Outer Middle Ground,,,Stranded,,US,185,42.6,22,1497,,"New York, NY","Liverpool, England","New York, NY",,,400-500,,,300000,,,N,N,Refloated,
Italia,,R Giacopello,Bark,1876,"Lerici, Italy",1/16/1879,1879,1,16,Deal Beach,39-12-10 N,74-38-30 W,Stranded,Wood,Italy,183,35,23,,625,"Spezzia, Italy","Plymouth, England","New York, NY",Mazzani,14,,0,35000,0,In ballast,Deal #6,Y,Y,Total loss,
Ivanhoe (1893),,,Tug,1883,"Philadelphia, PA",2/19/1893,1893,2,19,Atlantic Highlands,,,Collision,Steel,,85.3,19,9.4,94.52,47.26,"Philadelphia, PA","Philadelphia, PA","New York, NY",,6,,0,20000,,,,N,N,"Astern in tow of ""S S Kairn""",
Ivanhoe (1895),,,Tug,1883,"Philadelphia, PA",11/11/1895,1895,11,11,Sandy Hook point,,,Stranded,Steel,,85.3,19,9.4,94.52,47.26,"Philadelphia, PA","Deal, NJ","New York, NY",,7,,0,10000,,,Sandy Hook,N,N,"Towing ""Irrawaddy""",
J and C Merritt (1881),,,Schooner,1866,"English Creek, NJ",11/24/1881,1881,11,24,Great Egg Harbor Inlet North side,,,Stranded,,,,,,35.41,33.64,"Somers Point, NJ","Somers Point, NJ","New York, NY",Booy,3,,0,2000,3000,,,N,N,"#12901; Refloated; See ""Hattie J""",
J B King & Co # 19,,,Schooner,1899,"Port Richmond, NY",2/23/08,1908,2,23,Little Beach LSS SE 3.5 mi,,,Stranded,Steel,US,206.3,34.9,19,1166,1116,"New York, NY","Norfolk, VA","New York, NY",,29,,0,220000,12000,Coal,Little Beach,N,N,"#77360; Refloated; See ""Gypsum King""",
J B King & Co # 20,,,Schooner,1899,"Port Richmond, NY",2/23/08,1908,2,23,Little Beach LSS SE 3.5 mi,,,Stranded,Steel,US,206.3,34.9,19,1166,1111,"New York, NY","Norfolk, VA","New York, NY",,29,,0,220000,12000,Coal,Little Beach,N,N,"#77385; Refloated; See ""Gypsum King""",
J C Rahning,,,Bark,,,12/13/1864,1864,12,13,Allenhurst,,,Stranded,,,,,,,,"Halifax, NS","Havana, Cuba","New York, NY",Stevens,,,,,,Sugar,,,N,,
J G Conner (A),,,Schooner,1874,"Smith Landing, NJ",2/4/1884,1884,2,4,Little Egg LSS SW .5 mi,,,Stranded,,,,,,25.76,24.48,"Chincoteague, VA","Chincoteague, VA","New York, NY",Willis,2,,0,1500,525,Oysters,Little Egg # 23,,N,#75731,
J M Williams,,,Schooner,,,11/1846,1846,11,,Barnegat,,,Stranded,,,,,,,,,"Norfolk, VA","New York, NY",Eldridge,,,,,,,,Y,N,Total loss,
J Nickerson,,Robert Given,Schooner,1879,"Brunswick, ME",5/9/1883,1883,5,9,Five Fathom Bank SSE 40 mi,,,Collision,,,98,26,9.5,180,,"Portland, ME","Baracoa, Cuba","New York, NY",Farr,,,,,,,,N,N,Made New York for repairs,
J W Webster,,John R Pruyn,Schooner,1855,"New York, NY",4/13/1864,1864,4,13,"Long Branch, NJ",,,Stranded,,,121.6,29.6,12.6,390,,"New York, NY","Port Royal, SC","New York, NY",Blake,,,,,,In ballast,,,N,,
J W Wendt,,Seidenberg & Wendt,Ship,1855,"St John, NB",3/21/1889,1869,3,21,Forked River NE .75 mi,39-48-80 N,74-05-00 W,Stranded,Wood,Germany,263.7,44.3,28.5,3369,,"Bremen, Germany","Bremen, Germany","New York, NY",Lass,28,,0,20000,24000,Iron & barrels of oil,Forked River & Island Beach,Y,N,Total loss; Broke up,
Jabez Howes,,Sutton & Co,Ship,1877,"Newburyport, MA",1/1/1884,1884,1,1,Sandy Hook NNE .75 mi,,,Stranded,,,218.8,40.1,26,1648,1580,"San Francisco, CA","San Francisco, CA","New York, NY",Freeman,29,,0,100000,200000,,Sandy Hook,N,N,#15966; Refloated,
Jacob Myers,,,Steamer,,,1/10/1873,1873,1,10,Barnegat Shoals,,,Stranded,,US,,,,,,,"Philadelphia, PA","New York, NY",Howard,,,0,,,,,N,N,Refloated by Coast Wrecking Co,
Jacob V Troop,,J V Troop & Sons,Bark,1869,"Tynemouth, NS",1/16/1876,1876,1,16,Townsends Inlet S 3 mi,,,Stranded,,England,187,38,23,1232,,"St John, NB, Canada ","Calais, ME","New York, NY",Smith,22,,0,,,Guano,Stone Harbor #35,N,N,#59267; Refloated; More to story in file,
James B Johnson,,George Shaw,Schooner,1858,"Nacote Creek, Galloway, NJ",1/24/1890,1890,1,24,Forked River LSS S .5 m,,,Stranded,Wood,US,91.9,27.3,8.2,147.82,140.43,"Philadelphia, PA","Bogue Inlet, NC","New York, NY",Smith Shaw,4,,0,4500,1600,225 ton lumber,"Forked River 15, 16, 17",,N,#12912,
James B Ogden,,,Schooner,1880,"Alexandria, VA",2/5/1888,1888,2,5,Sandy Hook Flynns Knoll,,,Stranded,Wood,US,160,36,17.6,678.7,644.77,"New York, NY","Newport News, VA","New York, NY",Towles,9,,0,25000,4500,Coal,Sandy Hook,N,N,#76154; Refloated,
James Cook,,B Sherman & Co,Bark,1851,"Waldoboro, ME",6/6/1862,1862,6,6,Corsons Inlet bar,,,Stranded,,,111,24.4,12.6,299,,"Boston, MA","Havana, Cuba","New York, NY",Blanchard,,,,,,Molasses,,,N,,
James Emott,,,Schooner,,,12/15/1840,1840,12,15,Seven Mile Beach,,,Stranded,,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",,,,,,,,,,N,,
James H Braine,,,Schooner,,,1853,1853,,,Absecon Beach,,,Stranded,,,,,,,,"Yarmouth, NS","Barbados, Caribbean","New York, NY",,,,,,,,,Y,N,Near total loss,
James Longstreet,Target Ship,U S War Shipping Co,Freighter,1942,"Houston, TX",10/26/43,1943,10,26,Sandy Hook,40-27-00 N,74-00-00 W,Stranded,Steel,US,442,56.8,27.9,7176,,"Houston, TX","Southampton, England","New York, NY",,41,,0,,,,,Y,Y,"#212396; Used as a ""Target Ship"" after WWII",
James M Hall (1906),,H Hill,Schooner,1879,"Milford, DE",11/15/06,1906,11,15,Long Branch LSS S .5 mi,,,Stranded,Wood,US,90.4,27.2,5.5,87,67,"Somers Point, NJ","Indian Creek, VA","New York, NY",York,4,,0,2000,5500,Oil,Long Branch #4,,N,#26084,
James M Vandervorse,,,Schooner,,,1/7/1878,1878,1,7,Little Egg Harbor LSS N 1 mi,,,Stranded,,,,,,40,,"Perth Amboy, NJ","Port of Yorktown, Virginia","New York, NY",Brown,5,,0,3500,240,Pinewood,Little Egg #23,N,N,Refloated,
James M Williams,,,Schooner,,,9/19/1846,1846,9,19,Barnegat Light S 4 mi,,,Stranded,,,,,,,,"Taunton, MA","Norfolk, VA","New York, NY",Eldridge,,,,,,9000 bushels corn,,N,N,Refloated,
James Ponder,,,Schooner,1866,,4/20/1897,1897,4,20,"Cobbs Island, VA",,,Stranded,Wood,US,,,,271.62,,"Tuckerton, NJ","Port of Yorktown, Virginia","New York, NY",W A Maxwell,6,2,0,2000,1200,350 ton Railroad ties,Cobbs Island,Y,N,#13732; Total loss,
James Turpie,,,Steamer,1881,"Newcastle, England",10/25/1899,1899,10,25,Brigantine Shoal,39-23-00 N,74-23-30 W,Stranded,Iron,England,270.8,34.7,23,1732,,"North Shields, England","Palermo, Sicily","New York, NY",Wishart,20,,0,50000,100000,"Sulphur, fruit, oil",,N,N,#84859; Refloated,
James Veldran,,A & J Pharo,,,,12/21/1881,1881,12,21,Absecon Inlet,,,Collision,Wood,US,,,,208.94,,"Tuckerton, NJ","James River, VA","New York, NY",William Loveland,6,,,,1100,Wood,,,N,,
Jane (1749),,,Scow,,,2/20/1749,1749,2,20,Sandy Hook,,,Stranded,,,,,,,,,"Jamaica, WI","New York, NY",Abraham Keteltas,,,,,,,,N,N,Possibly Refloated,
Java,,,Ship,,,12/1856,1856,12,,Sandy Hook West Bank,,,Stranded,,,,,,,,,"Greenock, Scotland","New York, NY",,,,2,,,,,Y,N,Total loss,
Jefferson,,Tupper & Beattie,Schooner,1874,"Brooklyn, NY",12/14/1882,1882,12,14,Barnegat Shoal,,,Stranded,Wood,US,124.6,30,11.5,325,,"New York, NY","Mobile, AL","New York, NY",J E Gibbs,8,,0,20000,12000,Lumber,Barnegat #17,N,N,#75639; Refloated,
Jennie A Shephard,,,Schooner,,,5/7/1870,1870,5,7,Sandy Hook,,,Stranded,,,,,,,,,"Georgetown, DC","New York, NY",,,,,,,Coal,,N,N,Refloated; no damage,
Jennie Hall,,,Schooner,1883,"Columbia Falls, ME",2/7/1889,1889,2,7,Sandy Hook SE 2 mi,,,Stranded,Wood,,121.8,32.1,10.5,412.38,391.77,"Machias, ME","Jacksonville, FL","New York, NY",Coffin,9,,0,20000,20000,Lumber,,N,N,#76454; Refloated,
Jerome,,,Brig,,,11/29/1856,1856,11,29,Squan Inlet S 6.5 mi,,,Stranded,,,,,,,,"Port Medway, NS","North Caicos, ","New York, NY",Cahoon,,,,,,,,N,N,Refloated 12/8/1856,See scrapbooks 38 - 43 - Purple Misc
Jewess,,,Sidewheel steam,1839,"Baltimore, MD",11/11/1854,1854,11,11,Barnegat Beach,,,Stranded,,,,,,352,,,"Havana, Cuba","New York, NY",J J Wright,15,,0,,,,,Y,N,Total loss,
John (1870),,,Schooner,,,2/11/1870,1870,2,11,Atlantic City,,,Stranded,,,,,,,,,"Wilmington, NC","New York, NY",,,,,,,"Naval stores, peanuts & coffee",,N,N,Refloated,
John and Elizabeth,,Elliot,Brig,1862,"Sunderland, England",8/16/1862,1862,8,16,Long Beach Island,,,Stranded,,England,,,,500,,,"Trinity, NF","New York, NY",Main,,,,,,,,N,N,Refloated,
John and Richard (1768),,,Brig,,,2/1768,1768,2,,Cape May S 20 mi,,,Stranded,,,,,,,,,"Liverpool, England","New York, NY",Collins,,,,,,,,,N,,
John and Richard (1844),,,Schooner,,,12/11/1844,1844,12,11,Cape May,,,Stranded,,,,,,,,"Great Egg Harbor, NJ","Philadelphia, PA","New York, NY",,,,,,,Coal,,Y,N,Cargo saved; Ship lost,
John Anna (1895),,,Schooner,1866,"Somers Point, NJ",5/9/1895,1895,5,9,Great Egg LSS S 2 mi,,,Stranded,,,52.5,18.7,4.5,29.36,27.89,"Somers Point, NJ","Tuckahoe, NJ","New York, NY",Bailey,2,0,0,500,150,Wood,Great Egg,N,N,#12906; Refloated,
John B Biemiller,,E S Crosby,Schooner,1903,"Bath, ME",2/8/10,1910,2,8,Long Beach LSS S 1.5 mi,,,Stranded,,,188.3,38.2,21.8,1077,858,"Bath, ME","Ponce, Puerto Rico","New York, NY",,10,,0,40000,35000,Sugar,Long Beach,N,N,#77588; Refloated,
John B Moreau,,,Schooner,,,3/21/1856,1856,3,21,Little Egg Harbor,,,Stranded,,,,,,,,,"Port of Yorktown, Virginia","New York, NY",,,,,,,,,,N,,
John Bossert,,L Bossert & Son,Schooner,1904,"Bath, ME",2/15/16,1916,2,15,"Seabright, NJ",,,Burned,,US,170.7,36,12.8,601,492,"New York, NY","Georgetown, SC","New York, NY",H P Smith,8,,1,,,Lumber,,Y,N,#201579 Total loss,
John F Kranz (1903),,,Schooner,1871,"East Boston, MA",3/21/03,1903,3,21,Mantaloking Beach N .25 mi,,,Stranded,Wood,US,140.9,32,16.8,546.89,519.54,"Boston, MA","Black River, Jamaica","Flushing, NY",Harding,9,,0,5000,1600,Logwood,Manaloking,Y,Y,#75313; Total loss,
John Farnum,,,Bark,,,2/7/1855,1855,2,7,Squan Inlet S .7 mi,,,Stranded,,,,,,,,,"Havana, Cuba","New York, NY",,12,,,,,,,,N,,
John Gibson,,Smith & Brown,Steamer,1864,"Philadelphia, PA",11/5/1877,1877,11,5,Egg Harbor NW 6 mi,,,Collision,,,147,26,17,445,,"New York, NY","Georgetown, DC","New York, NY",Masingo,,,,,,,,,N,#13177,
John H Buttrick,,,Schooner,1891,"Newburyport, MA",12/27/1899,1899,12,27,Bonds LSS S 2 mi,,,Stranded,,US,157,36.4,13,627,540,"Boston, MA","Brunswick, GA","New York, NY",Sprague,3,,0,20000,17045,Lumber,Bonds & Little Egg,N,N,#76928; Refloated undamaged,
John H May,,William C May,Schooner,1883,"Milford, DE",12/24/12,1912,12,24,Sandy Hook S 3 mi,,,Stranded,Wood,US,136.22,34,10.4,363,319,"Philadelphia, PA","Charleston, SC","New York, NY",William J Stille,7,,0,5000,7000,500 ton lumber,Sandy Hook,Y,N,#76420; Total loss,
John Howard,,,Schooner,,,12/23/1872,1872,12,23,New Jersey coast,,,Stranded,,,,,,,,,"Norfolk, VA","New York, NY",,,,,,,In ballast,,,N,,
John Minturn,,Elisha Faxon,Packet,1841,"Westerly, RI",2/15/1846,1846,2,15,Squan Beach,40-01-24 N,74-03-00 W,Stranded,Wood,US,119,27.2,,500,398,"Mystic, CT","New Orleans, LA","New York, NY",Stark,,51,39,,84000,"Cotton, hogsheads, corn, etc",Squan #11,Y,Y,5 passengers lost,
John Mosser (1883),,Abrams et al,Schooner,1866,"Islip, NY",2/17/1883,1883,2,17,Hereford Inlet E 1 mi,,,Stranded,Wood,,82.3,25,7.2,93,,"New York, NY","Rappahannock, VA","New York, NY",Curtis,6,,0,4000,3500,Oysters,,Y,N,#13200; Total loss; Compass failure,
John R Fell (1901),,Penna Trust Co,Schooner,1880,"Bath, ME",1/12/01,1901,1,12,Barnegat NE 5 mi,,,Collision,Wood,US,131.8,34.1,10.4,354.2,336.49,"Philadelphia, PA","Wilmington, DE","New York, NY",W W Williams,7,,0,5000,6500,450 ton lumber,,N,N,#76125; Slight damage,
John Rowlett,,,Schooner,,,12/27/1839,1839,12,27,Cape May Light W 4 mi,,,Stranded,,US,,,,,,"Baltimore, MD","Baltimore, MD","New York, NY",,,,0,,,,,,N,,
John S Detweiler,,,Schooner,,,12/21/1873,1873,12,21,Barnegat,,,Stranded,,,,,,179,,"Philadelphia, PA","Port of Yorktown, Virginia","New York, NY",,6,,0,,,Wood,,,N,#13821,
John Silliman,,,Schooner,,,10/20/1859,1859,10,20,Corsons Inlet,39-12-10 N,74-38-30 W,Stranded,,,,,,,,,"Baltimore, MD","New York, NY",,5,,,,,Coal,,Y,N,Total loss,
John T Long,,,Schooner,1864,"Frankford, DE",12/7/1886,1886,12,7,Seabright LSS N 1.25 mi,,,Stranded,,,54.4,20,4.2,33.08,31.48,"New York, NY","Long Island, NY","Rockaway, NY",Sullivan,0,,0,800,,,Seabright #3,Y,N,#13727; Total loss; Washed ashore w/ no crew,
John W Broomall,,,Schooner,,,5/2/00,1900,5,2,East Rockaway Bay Debbs Inlet,,,Stranded,,US,,,,,,,"Bridgeport, CT","East Rockaway, NY",S James Hicks,3,0,0,1200,1014,Seed oysters,Long Beach,,N,,
John W Fox (1885),,,Schooner,1881,"Milton, DE",10/4/1885,1885,10,4,Great Egg Harbor,,,Mechanical damage,,,86.5,24,6,82,,"Miton, DE","Milton, DE","New York, NY",,4,,0,,,Pinewood,,N,N,#76266; Towed to NY,
Jonathan Sawyer,,B Frank Nealy,Schooner,1886,"Bath, ME",3/19/1896,1896,3,19,Sandy Hook SE .75 mi,,,Stranded,Wood,US,140,33.3,10.3,399.15,378.2,"Portsmouth, NH","Macoris, WI","New York, NY",Reynolds,7,,0,12000,30000,500 ton sugar,Sandy Hook,N,N,#76617; Refloated,
